"","X","t","n"
"17829",17829,"2009-02-13 12:00:00",12
"17830",17830,"2009-02-13 13:00:00",12
"17831",17831,"2009-02-13 14:00:00",23
"17832",17832,"2009-02-13 15:00:00",13
"17833",17833,"2009-02-13 16:00:00",6
"17834",17834,"2009-02-13 17:00:00",18
"17835",17835,"2009-02-13 18:00:00",7
"17836",17836,"2009-02-13 19:00:00",10
"17837",17837,"2009-02-13 20:00:00",5
"17838",17838,"2009-02-13 21:00:00",5
"17839",17839,"2009-02-13 22:00:00",4
"17840",17840,"2009-02-13 23:00:00",3
"17841",17841,"2009-02-14 00:00:00",3
"17842",17842,"2009-02-14 01:00:00",3
"17843",17843,"2009-02-14 02:00:00",1
"17844",17844,"2009-02-14 03:00:00",4
"17845",17845,"2009-02-14 04:00:00",1
"17846",17846,"2009-02-14 05:00:00",1
"17847",17847,"2009-02-14 06:00:00",5
"17848",17848,"2009-02-14 07:00:00",2
"17849",17849,"2009-02-14 08:00:00",11
"17850",17850,"2009-02-14 09:00:00",5
"17851",17851,"2009-02-14 10:00:00",13
"17852",17852,"2009-02-14 11:00:00",12
"17853",17853,"2009-02-14 12:00:00",11
"17854",17854,"2009-02-14 13:00:00",14
"17855",17855,"2009-02-14 14:00:00",6
"17856",17856,"2009-02-14 15:00:00",7
"17857",17857,"2009-02-14 16:00:00",12
"17858",17858,"2009-02-14 17:00:00",8
"17859",17859,"2009-02-14 18:00:00",2
"17860",17860,"2009-02-14 19:00:00",5
"17861",17861,"2009-02-14 20:00:00",2
"17862",17862,"2009-02-14 21:00:00",2
"17863",17863,"2009-02-14 22:00:00",8
"17864",17864,"2009-02-14 23:00:00",4
"17865",17865,"2009-02-15 00:00:00",2
"17866",17866,"2009-02-15 01:00:00",2
"17867",17867,"2009-02-15 02:00:00",2
"17868",17868,"2009-02-15 03:00:00",0
"17869",17869,"2009-02-15 04:00:00",1
"17870",17870,"2009-02-15 05:00:00",1
"17871",17871,"2009-02-15 06:00:00",1
"17872",17872,"2009-02-15 07:00:00",3
"17873",17873,"2009-02-15 08:00:00",7
"17874",17874,"2009-02-15 09:00:00",8
"17875",17875,"2009-02-15 10:00:00",4
"17876",17876,"2009-02-15 11:00:00",10
"17877",17877,"2009-02-15 12:00:00",10
"17878",17878,"2009-02-15 13:00:00",5
"17879",17879,"2009-02-15 14:00:00",9
"17880",17880,"2009-02-15 15:00:00",9
"17881",17881,"2009-02-15 16:00:00",6
"17882",17882,"2009-02-15 17:00:00",6
"17883",17883,"2009-02-15 18:00:00",5
"17884",17884,"2009-02-15 19:00:00",5
"17885",17885,"2009-02-15 20:00:00",4
"17886",17886,"2009-02-15 21:00:00",8
"17887",17887,"2009-02-15 22:00:00",9
"17888",17888,"2009-02-15 23:00:00",4
"17889",17889,"2009-02-16 00:00:00",7
"17890",17890,"2009-02-16 01:00:00",0
"17891",17891,"2009-02-16 02:00:00",1
"17892",17892,"2009-02-16 03:00:00",0
"17893",17893,"2009-02-16 04:00:00",0
"17894",17894,"2009-02-16 05:00:00",2
"17895",17895,"2009-02-16 06:00:00",1
"17896",17896,"2009-02-16 07:00:00",2
"17897",17897,"2009-02-16 08:00:00",9
"17898",17898,"2009-02-16 09:00:00",8
"17899",17899,"2009-02-16 10:00:00",10
"17900",17900,"2009-02-16 11:00:00",10
"17901",17901,"2009-02-16 12:00:00",7
"17902",17902,"2009-02-16 13:00:00",11
"17903",17903,"2009-02-16 14:00:00",14
"17904",17904,"2009-02-16 15:00:00",14
"17905",17905,"2009-02-16 16:00:00",10
"17906",17906,"2009-02-16 17:00:00",13
"17907",17907,"2009-02-16 18:00:00",11
"17908",17908,"2009-02-16 19:00:00",7
"17909",17909,"2009-02-16 20:00:00",9
"17910",17910,"2009-02-16 21:00:00",5
"17911",17911,"2009-02-16 22:00:00",10
"17912",17912,"2009-02-16 23:00:00",9
"17913",17913,"2009-02-17 00:00:00",3
"17914",17914,"2009-02-17 01:00:00",0
"17915",17915,"2009-02-17 02:00:00",3
"17916",17916,"2009-02-17 03:00:00",2
"17917",17917,"2009-02-17 04:00:00",3
"17918",17918,"2009-02-17 05:00:00",0
"17919",17919,"2009-02-17 06:00:00",6
"17920",17920,"2009-02-17 07:00:00",9
"17921",17921,"2009-02-17 08:00:00",15
"17922",17922,"2009-02-17 09:00:00",12
"17923",17923,"2009-02-17 10:00:00",20
"17924",17924,"2009-02-17 11:00:00",18
"17925",17925,"2009-02-17 12:00:00",11
"17926",17926,"2009-02-17 13:00:00",7
