"","X","t","n"
"17218",17218,"2009-01-19 01:00:00",0
"17219",17219,"2009-01-19 02:00:00",0
"17220",17220,"2009-01-19 03:00:00",0
"17221",17221,"2009-01-19 04:00:00",1
"17222",17222,"2009-01-19 05:00:00",3
"17223",17223,"2009-01-19 06:00:00",1
"17224",17224,"2009-01-19 07:00:00",2
"17225",17225,"2009-01-19 08:00:00",7
"17226",17226,"2009-01-19 09:00:00",5
"17227",17227,"2009-01-19 10:00:00",5
"17228",17228,"2009-01-19 11:00:00",2
"17229",17229,"2009-01-19 12:00:00",7
"17230",17230,"2009-01-19 13:00:00",9
"17231",17231,"2009-01-19 14:00:00",9
"17232",17232,"2009-01-19 15:00:00",10
"17233",17233,"2009-01-19 16:00:00",4
"17234",17234,"2009-01-19 17:00:00",8
"17235",17235,"2009-01-19 18:00:00",17
"17236",17236,"2009-01-19 19:00:00",16
"17237",17237,"2009-01-19 20:00:00",15
"17238",17238,"2009-01-19 21:00:00",8
"17239",17239,"2009-01-19 22:00:00",6
"17240",17240,"2009-01-19 23:00:00",10
"17241",17241,"2009-01-20 00:00:00",6
"17242",17242,"2009-01-20 01:00:00",3
"17243",17243,"2009-01-20 02:00:00",0
"17244",17244,"2009-01-20 03:00:00",0
"17245",17245,"2009-01-20 04:00:00",0
"17246",17246,"2009-01-20 05:00:00",1
"17247",17247,"2009-01-20 06:00:00",3
"17248",17248,"2009-01-20 07:00:00",8
"17249",17249,"2009-01-20 08:00:00",10
"17250",17250,"2009-01-20 09:00:00",4
"17251",17251,"2009-01-20 10:00:00",23
"17252",17252,"2009-01-20 11:00:00",17
"17253",17253,"2009-01-20 12:00:00",4
"17254",17254,"2009-01-20 13:00:00",7
"17255",17255,"2009-01-20 14:00:00",4
"17256",17256,"2009-01-20 15:00:00",12
"17257",17257,"2009-01-20 16:00:00",10
"17258",17258,"2009-01-20 17:00:00",2
"17259",17259,"2009-01-20 18:00:00",6
"17260",17260,"2009-01-20 19:00:00",3
"17261",17261,"2009-01-20 20:00:00",4
"17262",17262,"2009-01-20 21:00:00",5
"17263",17263,"2009-01-20 22:00:00",3
"17264",17264,"2009-01-20 23:00:00",3
"17265",17265,"2009-01-21 00:00:00",4
"17266",17266,"2009-01-21 01:00:00",2
"17267",17267,"2009-01-21 02:00:00",0
"17268",17268,"2009-01-21 03:00:00",1
"17269",17269,"2009-01-21 04:00:00",0
"17270",17270,"2009-01-21 05:00:00",1
"17271",17271,"2009-01-21 06:00:00",2
"17272",17272,"2009-01-21 07:00:00",2
"17273",17273,"2009-01-21 08:00:00",8
"17274",17274,"2009-01-21 09:00:00",6
"17275",17275,"2009-01-21 10:00:00",4
"17276",17276,"2009-01-21 11:00:00",8
"17277",17277,"2009-01-21 12:00:00",5
"17278",17278,"2009-01-21 13:00:00",18
"17279",17279,"2009-01-21 14:00:00",17
"17280",17280,"2009-01-21 15:00:00",9
"17281",17281,"2009-01-21 16:00:00",6
"17282",17282,"2009-01-21 17:00:00",3
"17283",17283,"2009-01-21 18:00:00",10
"17284",17284,"2009-01-21 19:00:00",4
"17285",17285,"2009-01-21 20:00:00",8
"17286",17286,"2009-01-21 21:00:00",4
"17287",17287,"2009-01-21 22:00:00",3
"17288",17288,"2009-01-21 23:00:00",8
"17289",17289,"2009-01-22 00:00:00",1
"17290",17290,"2009-01-22 01:00:00",2
"17291",17291,"2009-01-22 02:00:00",0
"17292",17292,"2009-01-22 03:00:00",0
"17293",17293,"2009-01-22 04:00:00",1
"17294",17294,"2009-01-22 05:00:00",0
"17295",17295,"2009-01-22 06:00:00",5
"17296",17296,"2009-01-22 07:00:00",10
"17297",17297,"2009-01-22 08:00:00",3
"17298",17298,"2009-01-22 09:00:00",11
"17299",17299,"2009-01-22 10:00:00",5
"17300",17300,"2009-01-22 11:00:00",7
"17301",17301,"2009-01-22 12:00:00",5
"17302",17302,"2009-01-22 13:00:00",12
"17303",17303,"2009-01-22 14:00:00",11
"17304",17304,"2009-01-22 15:00:00",5
"17305",17305,"2009-01-22 16:00:00",14
"17306",17306,"2009-01-22 17:00:00",3
"17307",17307,"2009-01-22 18:00:00",2
"17308",17308,"2009-01-22 19:00:00",17
"17309",17309,"2009-01-22 20:00:00",8
"17310",17310,"2009-01-22 21:00:00",3
"17311",17311,"2009-01-22 22:00:00",4
"17312",17312,"2009-01-22 23:00:00",3
"17313",17313,"2009-01-23 00:00:00",5
"17314",17314,"2009-01-23 01:00:00",4
"17315",17315,"2009-01-23 02:00:00",1
"17316",17316,"2009-01-23 03:00:00",0
"17317",17317,"2009-01-23 04:00:00",1
"17318",17318,"2009-01-23 05:00:00",2
"17319",17319,"2009-01-23 06:00:00",8
"17320",17320,"2009-01-23 07:00:00",11
"17321",17321,"2009-01-23 08:00:00",5
"17322",17322,"2009-01-23 09:00:00",5
"17323",17323,"2009-01-23 10:00:00",7
"17324",17324,"2009-01-23 11:00:00",14
"17325",17325,"2009-01-23 12:00:00",10
"17326",17326,"2009-01-23 13:00:00",6
"17327",17327,"2009-01-23 14:00:00",7
"17328",17328,"2009-01-23 15:00:00",10
"17329",17329,"2009-01-23 16:00:00",4
"17330",17330,"2009-01-23 17:00:00",8
"17331",17331,"2009-01-23 18:00:00",16
"17332",17332,"2009-01-23 19:00:00",14
"17333",17333,"2009-01-23 20:00:00",14
"17334",17334,"2009-01-23 21:00:00",3
"17335",17335,"2009-01-23 22:00:00",8
"17336",17336,"2009-01-23 23:00:00",4
"17337",17337,"2009-01-24 00:00:00",11
"17338",17338,"2009-01-24 01:00:00",1
"17339",17339,"2009-01-24 02:00:00",1
"17340",17340,"2009-01-24 03:00:00",1
"17341",17341,"2009-01-24 04:00:00",0
"17342",17342,"2009-01-24 05:00:00",1
"17343",17343,"2009-01-24 06:00:00",0
"17344",17344,"2009-01-24 07:00:00",3
"17345",17345,"2009-01-24 08:00:00",1
"17346",17346,"2009-01-24 09:00:00",9
"17347",17347,"2009-01-24 10:00:00",6
"17348",17348,"2009-01-24 11:00:00",2
"17349",17349,"2009-01-24 12:00:00",2
"17350",17350,"2009-01-24 13:00:00",2
"17351",17351,"2009-01-24 14:00:00",3
"17352",17352,"2009-01-24 15:00:00",6
"17353",17353,"2009-01-24 16:00:00",9
"17354",17354,"2009-01-24 17:00:00",3
"17355",17355,"2009-01-24 18:00:00",1
"17356",17356,"2009-01-24 19:00:00",8
"17357",17357,"2009-01-24 20:00:00",5
"17358",17358,"2009-01-24 21:00:00",5
"17359",17359,"2009-01-24 22:00:00",10
"17360",17360,"2009-01-24 23:00:00",3
"17361",17361,"2009-01-25 00:00:00",4
"17362",17362,"2009-01-25 01:00:00",2
"17363",17363,"2009-01-25 02:00:00",2
"17364",17364,"2009-01-25 03:00:00",0
"17365",17365,"2009-01-25 04:00:00",0
"17366",17366,"2009-01-25 05:00:00",0
"17367",17367,"2009-01-25 06:00:00",1
"17368",17368,"2009-01-25 07:00:00",3
"17369",17369,"2009-01-25 08:00:00",2
"17370",17370,"2009-01-25 09:00:00",5
"17371",17371,"2009-01-25 10:00:00",2
"17372",17372,"2009-01-25 11:00:00",8
"17373",17373,"2009-01-25 12:00:00",6
"17374",17374,"2009-01-25 13:00:00",13
"17375",17375,"2009-01-25 14:00:00",8
"17376",17376,"2009-01-25 15:00:00",2
"17377",17377,"2009-01-25 16:00:00",2
"17378",17378,"2009-01-25 17:00:00",4
"17379",17379,"2009-01-25 18:00:00",5
"17380",17380,"2009-01-25 19:00:00",7
"17381",17381,"2009-01-25 20:00:00",8
"17382",17382,"2009-01-25 21:00:00",2
"17383",17383,"2009-01-25 22:00:00",5
"17384",17384,"2009-01-25 23:00:00",3
"17385",17385,"2009-01-26 00:00:00",1
"17386",17386,"2009-01-26 01:00:00",0
"17387",17387,"2009-01-26 02:00:00",0
"17388",17388,"2009-01-26 03:00:00",1
"17389",17389,"2009-01-26 04:00:00",1
"17390",17390,"2009-01-26 05:00:00",1
"17391",17391,"2009-01-26 06:00:00",1
