"","X","t","n"
"21566",21566,"2009-07-19 05:00:00",37
"21567",21567,"2009-07-19 06:00:00",39
"21568",21568,"2009-07-19 07:00:00",34
"21569",21569,"2009-07-19 08:00:00",49
"21570",21570,"2009-07-19 09:00:00",81
"21571",21571,"2009-07-19 10:00:00",96
"21572",21572,"2009-07-19 11:00:00",115
"21573",21573,"2009-07-19 12:00:00",154
"21574",21574,"2009-07-19 13:00:00",140
"21575",21575,"2009-07-19 14:00:00",104
"21576",21576,"2009-07-19 15:00:00",129
"21577",21577,"2009-07-19 16:00:00",103
"21578",21578,"2009-07-19 17:00:00",124
"21579",21579,"2009-07-19 18:00:00",141
"21580",21580,"2009-07-19 19:00:00",123
"21581",21581,"2009-07-19 20:00:00",139
"21582",21582,"2009-07-19 21:00:00",111
"21583",21583,"2009-07-19 22:00:00",124
"21584",21584,"2009-07-19 23:00:00",120
"21585",21585,"2009-07-20 00:00:00",360
"21586",21586,"2009-07-20 01:00:00",58
"21587",21587,"2009-07-20 02:00:00",48
"21588",21588,"2009-07-20 03:00:00",25
"21589",21589,"2009-07-20 04:00:00",28
"21590",21590,"2009-07-20 05:00:00",33
"21591",21591,"2009-07-20 06:00:00",38
"21592",21592,"2009-07-20 07:00:00",58
"21593",21593,"2009-07-20 08:00:00",125
"21594",21594,"2009-07-20 09:00:00",143
"21595",21595,"2009-07-20 10:00:00",150
"21596",21596,"2009-07-20 11:00:00",188
"21597",21597,"2009-07-20 12:00:00",221
"21598",21598,"2009-07-20 13:00:00",194
"21599",21599,"2009-07-20 14:00:00",202
"21600",21600,"2009-07-20 15:00:00",197
"21601",21601,"2009-07-20 16:00:00",176
"21602",21602,"2009-07-20 17:00:00",212
"21603",21603,"2009-07-20 18:00:00",161
"21604",21604,"2009-07-20 19:00:00",139
"21605",21605,"2009-07-20 20:00:00",154
"21606",21606,"2009-07-20 21:00:00",146
"21607",21607,"2009-07-20 22:00:00",187
"21608",21608,"2009-07-20 23:00:00",138
"21609",21609,"2009-07-21 00:00:00",333
"21610",21610,"2009-07-21 01:00:00",77
"21611",21611,"2009-07-21 02:00:00",58
"21612",21612,"2009-07-21 03:00:00",59
"21613",21613,"2009-07-21 04:00:00",44
"21614",21614,"2009-07-21 05:00:00",51
"21615",21615,"2009-07-21 06:00:00",37
"21616",21616,"2009-07-21 07:00:00",72
"21617",21617,"2009-07-21 08:00:00",104
"21618",21618,"2009-07-21 09:00:00",159
"21619",21619,"2009-07-21 10:00:00",194
"21620",21620,"2009-07-21 11:00:00",202
"21621",21621,"2009-07-21 12:00:00",154
"21622",21622,"2009-07-21 13:00:00",200
"21623",21623,"2009-07-21 14:00:00",212
"21624",21624,"2009-07-21 15:00:00",215
