"","X","t","n"
"19922",19922,"2009-05-11 17:00:00",51
"19923",19923,"2009-05-11 18:00:00",51
"19924",19924,"2009-05-11 19:00:00",44
"19925",19925,"2009-05-11 20:00:00",60
"19926",19926,"2009-05-11 21:00:00",80
"19927",19927,"2009-05-11 22:00:00",52
"19928",19928,"2009-05-11 23:00:00",50
"19929",19929,"2009-05-12 00:00:00",123
"19930",19930,"2009-05-12 01:00:00",14
"19931",19931,"2009-05-12 02:00:00",8
"19932",19932,"2009-05-12 03:00:00",1
"19933",19933,"2009-05-12 04:00:00",7
"19934",19934,"2009-05-12 05:00:00",10
"19935",19935,"2009-05-12 06:00:00",12
"19936",19936,"2009-05-12 07:00:00",27
"19937",19937,"2009-05-12 08:00:00",56
"19938",19938,"2009-05-12 09:00:00",75
"19939",19939,"2009-05-12 10:00:00",77
"19940",19940,"2009-05-12 11:00:00",48
"19941",19941,"2009-05-12 12:00:00",81
"19942",19942,"2009-05-12 13:00:00",48
"19943",19943,"2009-05-12 14:00:00",61
"19944",19944,"2009-05-12 15:00:00",60
"19945",19945,"2009-05-12 16:00:00",57
"19946",19946,"2009-05-12 17:00:00",47
"19947",19947,"2009-05-12 18:00:00",49
"19948",19948,"2009-05-12 19:00:00",42
"19949",19949,"2009-05-12 20:00:00",83
"19950",19950,"2009-05-12 21:00:00",59
"19951",19951,"2009-05-12 22:00:00",64
"19952",19952,"2009-05-12 23:00:00",44
"19953",19953,"2009-05-13 00:00:00",81
"19954",19954,"2009-05-13 01:00:00",21
"19955",19955,"2009-05-13 02:00:00",15
"19956",19956,"2009-05-13 03:00:00",4
"19957",19957,"2009-05-13 04:00:00",13
"19958",19958,"2009-05-13 05:00:00",9
"19959",19959,"2009-05-13 06:00:00",12
"19960",19960,"2009-05-13 07:00:00",23
"19961",19961,"2009-05-13 08:00:00",53
"19962",19962,"2009-05-13 09:00:00",64
"19963",19963,"2009-05-13 10:00:00",53
"19964",19964,"2009-05-13 11:00:00",71
"19965",19965,"2009-05-13 12:00:00",63
"19966",19966,"2009-05-13 13:00:00",45
"19967",19967,"2009-05-13 14:00:00",14
"19968",19968,"2009-05-13 15:00:00",88
"19969",19969,"2009-05-13 16:00:00",56
"19970",19970,"2009-05-13 17:00:00",61
"19971",19971,"2009-05-13 18:00:00",57
"19972",19972,"2009-05-13 19:00:00",50
"19973",19973,"2009-05-13 20:00:00",43
"19974",19974,"2009-05-13 21:00:00",65
"19975",19975,"2009-05-13 22:00:00",60
"19976",19976,"2009-05-13 23:00:00",39
"19977",19977,"2009-05-14 00:00:00",74
"19978",19978,"2009-05-14 01:00:00",20
"19979",19979,"2009-05-14 02:00:00",17
"19980",19980,"2009-05-14 03:00:00",4
"19981",19981,"2009-05-14 04:00:00",7
"19982",19982,"2009-05-14 05:00:00",16
"19983",19983,"2009-05-14 06:00:00",19
"19984",19984,"2009-05-14 07:00:00",22
"19985",19985,"2009-05-14 08:00:00",35
"19986",19986,"2009-05-14 09:00:00",45
"19987",19987,"2009-05-14 10:00:00",49
"19988",19988,"2009-05-14 11:00:00",62
"19989",19989,"2009-05-14 12:00:00",57
"19990",19990,"2009-05-14 13:00:00",78
"19991",19991,"2009-05-14 14:00:00",49
"19992",19992,"2009-05-14 15:00:00",56
"19993",19993,"2009-05-14 16:00:00",69
"19994",19994,"2009-05-14 17:00:00",50
"19995",19995,"2009-05-14 18:00:00",47
"19996",19996,"2009-05-14 19:00:00",35
"19997",19997,"2009-05-14 20:00:00",43
"19998",19998,"2009-05-14 21:00:00",62
"19999",19999,"2009-05-14 22:00:00",41
"20000",20000,"2009-05-14 23:00:00",25
"20001",20001,"2009-05-15 00:00:00",75
"20002",20002,"2009-05-15 01:00:00",26
"20003",20003,"2009-05-15 02:00:00",14
"20004",20004,"2009-05-15 03:00:00",6
"20005",20005,"2009-05-15 04:00:00",6
"20006",20006,"2009-05-15 05:00:00",7
"20007",20007,"2009-05-15 06:00:00",20
"20008",20008,"2009-05-15 07:00:00",46
"20009",20009,"2009-05-15 08:00:00",56
"20010",20010,"2009-05-15 09:00:00",52
"20011",20011,"2009-05-15 10:00:00",59
"20012",20012,"2009-05-15 11:00:00",75
"20013",20013,"2009-05-15 12:00:00",75
"20014",20014,"2009-05-15 13:00:00",70
"20015",20015,"2009-05-15 14:00:00",60
"20016",20016,"2009-05-15 15:00:00",78
"20017",20017,"2009-05-15 16:00:00",46
"20018",20018,"2009-05-15 17:00:00",81
"20019",20019,"2009-05-15 18:00:00",48
"20020",20020,"2009-05-15 19:00:00",45
"20021",20021,"2009-05-15 20:00:00",44
"20022",20022,"2009-05-15 21:00:00",80
"20023",20023,"2009-05-15 22:00:00",56
"20024",20024,"2009-05-15 23:00:00",34
"20025",20025,"2009-05-16 00:00:00",88
"20026",20026,"2009-05-16 01:00:00",19
"20027",20027,"2009-05-16 02:00:00",17
"20028",20028,"2009-05-16 03:00:00",2
"20029",20029,"2009-05-16 04:00:00",4
"20030",20030,"2009-05-16 05:00:00",4
"20031",20031,"2009-05-16 06:00:00",10
"20032",20032,"2009-05-16 07:00:00",21
"20033",20033,"2009-05-16 08:00:00",28
"20034",20034,"2009-05-16 09:00:00",42
"20035",20035,"2009-05-16 10:00:00",39
"20036",20036,"2009-05-16 11:00:00",31
"20037",20037,"2009-05-16 12:00:00",56
"20038",20038,"2009-05-16 13:00:00",49
"20039",20039,"2009-05-16 14:00:00",39
"20040",20040,"2009-05-16 15:00:00",39
"20041",20041,"2009-05-16 16:00:00",40
"20042",20042,"2009-05-16 17:00:00",36
"20043",20043,"2009-05-16 18:00:00",44
"20044",20044,"2009-05-16 19:00:00",27
"20045",20045,"2009-05-16 20:00:00",49
"20046",20046,"2009-05-16 21:00:00",47
"20047",20047,"2009-05-16 22:00:00",47
"20048",20048,"2009-05-16 23:00:00",44
"20049",20049,"2009-05-17 00:00:00",79
"20050",20050,"2009-05-17 01:00:00",17
"20051",20051,"2009-05-17 02:00:00",13
"20052",20052,"2009-05-17 03:00:00",9
"20053",20053,"2009-05-17 04:00:00",2
"20054",20054,"2009-05-17 05:00:00",9
"20055",20055,"2009-05-17 06:00:00",12
"20056",20056,"2009-05-17 07:00:00",10
"20057",20057,"2009-05-17 08:00:00",19
"20058",20058,"2009-05-17 09:00:00",32
"20059",20059,"2009-05-17 10:00:00",23
"20060",20060,"2009-05-17 11:00:00",58
"20061",20061,"2009-05-17 12:00:00",43
"20062",20062,"2009-05-17 13:00:00",35
"20063",20063,"2009-05-17 14:00:00",51
"20064",20064,"2009-05-17 15:00:00",34
"20065",20065,"2009-05-17 16:00:00",37
"20066",20066,"2009-05-17 17:00:00",54
"20067",20067,"2009-05-17 18:00:00",27
"20068",20068,"2009-05-17 19:00:00",41
"20069",20069,"2009-05-17 20:00:00",54
"20070",20070,"2009-05-17 21:00:00",44
"20071",20071,"2009-05-17 22:00:00",75
"20072",20072,"2009-05-17 23:00:00",39
"20073",20073,"2009-05-18 00:00:00",79
"20074",20074,"2009-05-18 01:00:00",18
"20075",20075,"2009-05-18 02:00:00",17
"20076",20076,"2009-05-18 03:00:00",13
"20077",20077,"2009-05-18 04:00:00",9
"20078",20078,"2009-05-18 05:00:00",16
"20079",20079,"2009-05-18 06:00:00",12
"20080",20080,"2009-05-18 07:00:00",29
"20081",20081,"2009-05-18 08:00:00",34
"20082",20082,"2009-05-18 09:00:00",60
"20083",20083,"2009-05-18 10:00:00",63
"20084",20084,"2009-05-18 11:00:00",59
"20085",20085,"2009-05-18 12:00:00",69
"20086",20086,"2009-05-18 13:00:00",45
"20087",20087,"2009-05-18 14:00:00",79
"20088",20088,"2009-05-18 15:00:00",74
"20089",20089,"2009-05-18 16:00:00",65
"20090",20090,"2009-05-18 17:00:00",57
"20091",20091,"2009-05-18 18:00:00",44
"20092",20092,"2009-05-18 19:00:00",58
"20093",20093,"2009-05-18 20:00:00",57
"20094",20094,"2009-05-18 21:00:00",57
"20095",20095,"2009-05-18 22:00:00",61
"20096",20096,"2009-05-18 23:00:00",72
"20097",20097,"2009-05-19 00:00:00",118
"20098",20098,"2009-05-19 01:00:00",16
"20099",20099,"2009-05-19 02:00:00",15
"20100",20100,"2009-05-19 03:00:00",11
"20101",20101,"2009-05-19 04:00:00",14
"20102",20102,"2009-05-19 05:00:00",15
"20103",20103,"2009-05-19 06:00:00",14
"20104",20104,"2009-05-19 07:00:00",36
"20105",20105,"2009-05-19 08:00:00",46
"20106",20106,"2009-05-19 09:00:00",49
"20107",20107,"2009-05-19 10:00:00",63
"20108",20108,"2009-05-19 11:00:00",69
"20109",20109,"2009-05-19 12:00:00",85
"20110",20110,"2009-05-19 13:00:00",71
"20111",20111,"2009-05-19 14:00:00",108
"20112",20112,"2009-05-19 15:00:00",67
"20113",20113,"2009-05-19 16:00:00",64
"20114",20114,"2009-05-19 17:00:00",73
"20115",20115,"2009-05-19 18:00:00",71
"20116",20116,"2009-05-19 19:00:00",69
"20117",20117,"2009-05-19 20:00:00",78
"20118",20118,"2009-05-19 21:00:00",90
"20119",20119,"2009-05-19 22:00:00",69
"20120",20120,"2009-05-19 23:00:00",58
"20121",20121,"2009-05-20 00:00:00",95
"20122",20122,"2009-05-20 01:00:00",21
"20123",20123,"2009-05-20 02:00:00",18
"20124",20124,"2009-05-20 03:00:00",9
"20125",20125,"2009-05-20 04:00:00",9
"20126",20126,"2009-05-20 05:00:00",8
"20127",20127,"2009-05-20 06:00:00",13
"20128",20128,"2009-05-20 07:00:00",35
"20129",20129,"2009-05-20 08:00:00",35
"20130",20130,"2009-05-20 09:00:00",45
"20131",20131,"2009-05-20 10:00:00",76
"20132",20132,"2009-05-20 11:00:00",60
"20133",20133,"2009-05-20 12:00:00",74
"20134",20134,"2009-05-20 13:00:00",77
"20135",20135,"2009-05-20 14:00:00",72
"20136",20136,"2009-05-20 15:00:00",59
