"","X","t","n"
"19431",19431,"2009-04-21 06:00:00",11
"19432",19432,"2009-04-21 07:00:00",23
"19433",19433,"2009-04-21 08:00:00",24
"19434",19434,"2009-04-21 09:00:00",45
"19435",19435,"2009-04-21 10:00:00",44
"19436",19436,"2009-04-21 11:00:00",53
"19437",19437,"2009-04-21 12:00:00",54
"19438",19438,"2009-04-21 13:00:00",49
"19439",19439,"2009-04-21 14:00:00",57
"19440",19440,"2009-04-21 15:00:00",54
"19441",19441,"2009-04-21 16:00:00",40
"19442",19442,"2009-04-21 17:00:00",39
"19443",19443,"2009-04-21 18:00:00",37
"19444",19444,"2009-04-21 19:00:00",46
"19445",19445,"2009-04-21 20:00:00",49
"19446",19446,"2009-04-21 21:00:00",44
"19447",19447,"2009-04-21 22:00:00",51
"19448",19448,"2009-04-21 23:00:00",31
"19449",19449,"2009-04-22 00:00:00",41
"19450",19450,"2009-04-22 01:00:00",35
"19451",19451,"2009-04-22 02:00:00",13
"19452",19452,"2009-04-22 03:00:00",3
"19453",19453,"2009-04-22 04:00:00",9
"19454",19454,"2009-04-22 05:00:00",12
"19455",19455,"2009-04-22 06:00:00",9
"19456",19456,"2009-04-22 07:00:00",21
"19457",19457,"2009-04-22 08:00:00",43
"19458",19458,"2009-04-22 09:00:00",50
"19459",19459,"2009-04-22 10:00:00",48
"19460",19460,"2009-04-22 11:00:00",51
"19461",19461,"2009-04-22 12:00:00",57
"19462",19462,"2009-04-22 13:00:00",59
"19463",19463,"2009-04-22 14:00:00",61
"19464",19464,"2009-04-22 15:00:00",40
"19465",19465,"2009-04-22 16:00:00",49
"19466",19466,"2009-04-22 17:00:00",53
"19467",19467,"2009-04-22 18:00:00",33
"19468",19468,"2009-04-22 19:00:00",37
"19469",19469,"2009-04-22 20:00:00",40
"19470",19470,"2009-04-22 21:00:00",53
"19471",19471,"2009-04-22 22:00:00",35
"19472",19472,"2009-04-22 23:00:00",38
"19473",19473,"2009-04-23 00:00:00",130
"19474",19474,"2009-04-23 01:00:00",15
"19475",19475,"2009-04-23 02:00:00",8
"19476",19476,"2009-04-23 03:00:00",5
"19477",19477,"2009-04-23 04:00:00",3
"19478",19478,"2009-04-23 05:00:00",6
"19479",19479,"2009-04-23 06:00:00",12
"19480",19480,"2009-04-23 07:00:00",28
"19481",19481,"2009-04-23 08:00:00",42
"19482",19482,"2009-04-23 09:00:00",56
"19483",19483,"2009-04-23 10:00:00",50
